seqname,tax_id
A00003039,g__Streptococcus
A00003487,g__Actinomyces
A00000467,f__Synechococcaceae
A00003486,g__Yersinia
A00001233,g__Atopobium
A00000983,g__Teredinibacter
A00000608,g__Delftia
A00000609,g__Desulfococcus
A00000985,f__Thermococcaceae
A00000604,g__Chloroflexus
A00000605,g__Abiotrophia
A00000602,g__Vulcanisaeta
A00000600,g__Brucella
A00000984,g__Thermococcus
A00003489,c__Alphaproteobacteria
A00004136,g__Actinoplanes
A00004469,f__Aurantimonadaceae
A00000044,g__Burkholderia
A00000045,g__Burkholderia
A00000046,g__Burkholderia
A00000047,g__Campylobacter
A00000040,g__Burkholderia
A00000041,g__Burkholderia
A00000734,f__Caulobacteraceae
A00000735,g__Porphyromonas
A00000049,g__Candidatus_Blochmannia
A00004131,f__Francisellaceae
A00001951,f__Halobacteriaceae
A00000139,g__Listeria
A00001953,g__Pyrobaculum
A00001952,f__Thermoproteaceae
A00001955,f__Methanococcaceae
A00001954,g__Desulfurococcus
A00001957,f__Halobacteriaceae
A00001956,f__Halobacteriaceae
A00001959,f__Methanosarcinaceae
A00001958,f__Cenarchaeaceae
A00000132,g__Lawsonia
A00004128n0,g__Lachnoclostridium
A00004128n1,g__Lachnoclostridium
A00000136,g__Leifsonia
A00000137,g__Leptospira
A00000426,g__Oenococcus
A00000427,g__Paracoccus
A00000425,g__Nocardioides
A00000423,g__Mycobacterium
A00000421,g__Mycobacterium
A00003805,f__Rhodobacteraceae
A00000428,g__Pediococcus
A00000429,g__Geobacter
A00003754,g__Actinopolyspora
A00001390,f__Lachnospiraceae
A00001397,g__Coprococcus
A00001396,f__Lachnospiraceae
A00001394,g__Lachnoclostridium
A00003471,g__Alcanivorax
A00003379,g__Vibrio
A00004386,f__Rhodospirillales
A00004384,o__Pirellulales
A00004383,f__Rhodobacteraceae
A00004381,g__Bradyrhizobium
A00004311n0,f__Entomoplasmataceae
A00004311n1,f__Entomoplasmataceae
A00000443,f__Comamonadaceae
A00000558,g__Fervidobacterium
A00000559,g__Flavobacterium
A00000552,g__Clostridium
A00000554,g__Cronobacter
A00004419,g__Labrenzia
A00001178,g__Staphylococcus
A00001177,g__Escherichia
A00004416,f__Cytophagaceae
A00001172n0,f__Entomoplasmataceae
A00001172n1,f__Entomoplasmataceae
A00004346,f__Flavobacteriaceae
A00000957,g__Leptotrichia
A00000954,g__Lactobacillus
A00000955,g__Lactobacillus
A00000952,f__Thermotogaceae
A00000953,f__Dermacoccaceae
A00000950,o__[Cellulomonadales]
A00000951,g__Kangiella
A00000958,g__Methanocaldococcus
A00000959,g__Methylobacterium
A00000219,o__Pirellulales
A00000218,f__Comamonadaceae
A00004262,g__Alcaligenes_Achromobacter
A00002605,f__Rhodospirillales
A00002606,g__Mycoplasma
A00001559,f__Thermoproteaceae
