tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
g__Archaeoglobus,f__Archaeoglobaceae,genus,g__Archaeoglobus,Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,
s__Archaeoglobus_sulfaticallidus,g__Archaeoglobus,species,s__Archaeoglobus_sulfaticallidus,Root,d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sulfaticallidus
f__Kofleriaceae,o__Myxococcales,family,f__Kofleriaceae,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Kofleriaceae,,
g__Haliangium,f__Kofleriaceae,genus,g__Haliangium,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Kofleriaceae,g__Haliangium,
s__Haliangium_ochraceum,g__Haliangium,species,s__Haliangium_ochraceum,Root,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Kofleriaceae,g__Haliangium,s__Haliangium_ochraceum
s__Chryseobacterium_sp._YR477,g__Chryseobacterium,species,s__Chryseobacterium_sp._YR477,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_sp._YR477
o__Nitriliruptorales,c__Actinobacteria,order,o__Nitriliruptorales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nitriliruptorales,,,
f__Nitriliruptoraceae,o__Nitriliruptorales,family,f__Nitriliruptoraceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nitriliruptorales,f__Nitriliruptoraceae,,
g__Nitriliruptor,f__Nitriliruptoraceae,genus,g__Nitriliruptor,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nitriliruptorales,f__Nitriliruptoraceae,g__Nitriliruptor,
s__Nitriliruptor_alkaliphilus,g__Nitriliruptor,species,s__Nitriliruptor_alkaliphilus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nitriliruptorales,f__Nitriliruptoraceae,g__Nitriliruptor,s__Nitriliruptor_alkaliphilus
